date,a_price_cny,h_price_hkd,fx_hkd_cny,fx_source_date,fx_stale_days,a_volume,h_volume
2025-01-02,42.8724,38.0000,0.918000,2025-01-02,0,5000000,8400000
2025-01-03,43.0347,38.0957,0.918129,2025-01-03,0,5110882,8394218
2025-01-06,43.1963,38.1912,0.918258,2025-01-06,0,5220397,8376923
2025-01-07,43.3567,38.2863,0.918386,2025-01-07,0,5327194,8348255
2025-01-08,43.5152,38.3806,0.918515,2025-01-08,0,5429956,8308453
2025-01-09,43.6715,38.4739,0.918642,2025-01-09,0,5527415,8257844
2025-01-10,43.8248,38.5661,0.918769,2025-01-10,0,5618369,8196848
2025-01-13,43.9746,38.6568,0.918896,2025-01-13,0,5701697,8125966
2025-01-14,44.1205,38.7459,0.919021,2025-01-14,0,5776371,8045786
2025-01-15,44.2619,38.8332,0.919145,2025-01-15,0,5841470,7956969
2025-01-16,44.3982,38.9184,0.919268,2025-01-16,0,5896192,7860248
2025-01-17,44.5290,39.0013,0.919390,2025-01-17,0,5939860,7756423
2025-01-20,44.6539,39.0817,0.919510,2025-01-20,0,5971937,7646350
2025-01-21,44.7724,39.1595,0.919629,2025-01-21,0,5992028,7530940
2025-01-22,44.8841,39.2344,0.919746,2025-01-22,0,5999883,7411144
2025-01-23,44.9886,39.3062,0.919861,2025-01-23,0,5995407,7287953
2025-01-24,45.0855,39.3749,0.919974,2025-01-24,0,5978655,7162384
2025-01-27,45.1746,39.4402,0.920085,2025-01-27,0,5949833,7035474
2025-01-28,45.2556,39.5021,0.920194,2025-01-28,0,5909297,7091728
2025-01-29,45.3282,39.5602,0.920301,2025-01-29,0,5857546,7218174
2025-01-30,45.3922,39.6147,0.920405,2025-01-30,0,5795220,7342817
2025-01-31,45.4475,39.6652,0.920507,2025-01-31,0,5723085,7464630
2025-02-03,45.4939,39.7118,0.920606,2025-02-03,0,5642033,7582605
2025-02-04,45.5314,39.7543,0.920703,2025-02-04,0,5553063,7695769
2025-02-05,45.5598,39.7927,0.920797,2025-02-05,0,5457272,7803186
2025-02-06,45.5793,39.8269,0.920887,2025-02-06,0,5355841,7903970
2025-02-07,45.5898,39.8568,0.920975,2025-02-07,0,5250022,7997289
2025-02-10,45.5914,39.8825,0.921060,2025-02-10,0,5141120,8082371
2025-02-11,45.5842,39.9038,0.921141,2025-02-11,0,5030476,8158514
2025-02-12,45.5684,39.9209,0.921220,2025-02-12,0,5080542,8225089
2025-02-13,45.5441,39.9336,0.921294,2025-02-13,0,5190567,8281546
2025-02-14,45.5117,39.9420,0.921366,2025-02-14,0,5298243,8327419
2025-02-17,45.4713,39.9461,0.921434,2025-02-17,0,5402240,8362330
2025-02-18,45.4232,39.9460,0.921498,2025-02-18,0,5501277,8385989
2025-02-19,45.3679,39.9418,0.921559,2025-02-19,0,5594131,8398202
2025-02-20,45.3056,39.9334,0.921616,2025-02-20,0,5679657,8398867
2025-02-21,45.2367,39.9210,0.921669,2025-02-21,0,5756802,8387979
2025-02-24,45.1617,39.9047,0.921719,2025-02-24,0,5824613,8365629
2025-02-25,45.0809,39.8846,0.921764,2025-02-25,0,5882254,8332000
2025-02-26,44.9949,39.8607,0.921806,2025-02-26,0,5929014,8287370
2025-02-27,44.9041,39.8333,0.921844,2025-02-27,0,5964317,8232108
2025-02-28,44.8090,39.8025,0.921877,2025-02-28,0,5987726,8166670
2025-03-03,44.7100,39.7683,0.921907,2025-03-03,0,5998954,8091598
2025-03-04,44.6078,39.7311,0.921933,2025-03-04,0,5997862,8007509
2025-03-05,44.5028,39.6908,0.921954,2025-03-05,0,5984464,7915101
2025-03-06,44.3955,39.6479,0.921972,2025-03-06,0,5958924,7815134
2025-03-07,44.2864,39.6023,0.921985,2025-03-07,0,5921557,7708436
2025-03-10,44.1761,39.5543,0.921994,2025-03-10,0,5872825,7595886
2025-03-11,44.0651,39.5042,0.921999,2025-03-11,0,5813329,7478416
2025-03-12,43.9539,39.4521,0.922000,2025-03-12,0,5743802,7356994
2025-03-13,43.8430,39.3982,0.921996,2025-03-13,0,5665101,7232624
2025-03-14,43.7329,39.3428,0.921989,2025-03-14,0,5578198,7106332
2025-03-17,43.6241,39.2860,0.921977,2025-03-17,0,5484164,7020836
