"company","a_code","h_code"
"芯碁微装","688630","09630"
"昭衍新药","603127","06127"
"胜宏科技","300476","02476"
"康龙化成","300759","03759"
"圣邦股份","300661","03661"
"广合科技","001389","01989"
"百奥赛图","688796","02315"
"剑桥科技","603083","06166"
"大族数控","301200","03200"
"兆易创新","603986","03986"
"荣昌生物","688331","09995"
"凯莱英","002821","06821"
"康希诺","688185","06185"
"药明康德","603259","02359"
"泰格医药","300347","03347"
"金风科技","002202","02208"
"君实生物-U","688180","01877"
"长飞光纤","601869","06869"
"鼎泰高科","301377","01377"
"迈威生物-U","688062","02493"
"国民技术","300077","02701"
"三环集团","300408","06951"
"百济神州","688235","06160"
"钧达股份","002865","02865"
"江西铜业","600362","00358"
"福莱特","601865","06865"
"峰岹科技","688279","01304"
"复星医药","600196","02196"
"恒瑞医药","600276","01276"
"晶合集成","688249","02249"
"赣锋锂业","002460","01772"
"诺诚健华","688428","09969"
"紫金矿业","601899","02899"
"纳芯微","688052","02676"
"金力永磁","300748","06680"
"华虹宏力","688347","01347"
"天岳先进","688234","02631"
"安克创新","300866","00668"
"兆威机电","003021","02692"
"立讯精密","002475","02475"
"蓝思科技","300433","06613"
"中国石化","600028","00386"
"澜起科技","688008","06809"
"潍柴动力","000338","02338"
"中国海油","600938","00883"
"东鹏饮料","605499","09980"
"复旦张江","688505","01349"
"可孚医疗","301087","01187"
"山东黄金","600547","01787"
"中远海能","600026","01138"
"春立医疗","688236","01858"
"山东墨龙","002490","00568"
"大金重工","002487","01081"
"中国铝业","601600","02600"
"XD新华保","601336","01336"
"东方电气","600875","01072"
"华勤技术","603296","03296"
"中国人寿","601628","02628"
"中远海控","601919","01919"
"中芯国际","688981","00981"
"昊海生科","688366","06826"
"天齐锂业","002466","09696"
"亿华通-U","688339","02402"
"招商证券","600999","06099"
"赤峰黄金","600988","06693"
"秦港股份","601326","03369"
"洛阳钼业","603993","03993"
"宁德时代","300750","03750"
"丽珠集团","000513","01513"
"三花智控","002050","02050"
"复旦微电","688385","01385"
"中国石油","601857","00857"
"埃斯顿","002747","02715"
"广发证券","000776","01776"
"中伟新材","300919","02579"
"海普瑞","002399","09989"
"中信证券","600030","06030"
"中国中免","601888","01880"
"石化油服","600871","01033"
"白云山","600332","00874"
"中金公司","601995","03908"
"XD时代电","688187","03898"
"龙旗科技","603341","09611"
"中国中铁","601390","00390"
"上海医药","601607","02607"
"凯盛新能","600876","01108"
"中集集团","000039","02039"
"牧原股份","002714","02714"
"中国神华","601088","01088"
"比亚迪","002594","01211"
"上海石化","600688","00338"
"南京熊猫","600775","00553"
"豪威集团","603501","00501"
"马钢股份","600808","00323"
"兖矿能源","600188","01171"
"中国银河","601881","06881"
"沃尔核材","002130","09981"
"东方证券","600958","03958"
"弘业期货","001236","03678"
"中远海发","601866","02866"
"中铝国际","601068","02068"
"国联民生","601456","01456"
"鞍钢股份","000898","00347"
"国泰海通","601211","02611"
"普源精电","688337","00537"
"中信建投","601066","06066"
"赛力斯","601127","09927"
"光大证券","601788","06178"
"吉宏股份","002803","02603"
"中海油服","601808","02883"
"广汽集团","601238","02238"
"招商银行","600036","03968"
"皖通高速","600012","00995"
"海螺水泥","600585","00914"
"中煤能源","601898","01898"
"中原证券","601375","01375"
"中国铁建","601186","01186"
"中国中冶","601618","01618"
"中国平安","601318","02318"
"安德利","605198","02218"
"申万宏源","000166","06806"
"万  科Ａ","000002","02202"
"华泰证券","601688","06886"
"大众公用","600635","01635"
"中国能建","601868","03996"
"美凯龙","601828","01528"
"交通银行","601328","03328"
"工商银行","601398","01398"
"龙蟠科技","603906","02465"
"中创智领","601717","00564"
"中国广核","003816","01816"
"龙源电力","001289","00916"
"重庆钢铁","601005","01053"
"郑州银行","002936","06196"
"民生银行","600016","01988"
"中国通号","688009","03969"
"建设银行","601939","00939"
"中国人保","601319","01339"
"中国银行","601988","03988"
"中国移动","600941","00941"
"均胜电子","600699","00699"
"宁沪高速","600377","00177"
"邮储银行","601658","01658"
"北辰实业","601588","00588"
"ST晨鸣","000488","01812"
"青岛啤酒","600600","00168"
"大唐发电","601991","00991"
"京城股份","600860","00187"
"青岛银行","002948","03866"
"金隅集团","601992","02009"
"新华制药","000756","00719"
"中国太保","601601","02601"
"海尔智家","600690","06690"
"领益智造","002600","01688"
"中联重科","000157","01157"
"中兴通讯","000063","00763"
"华新建材","600801","06655"
"中国电信","601728","00728"
"浙商银行","601916","02016"
"农业银行","601288","01288"
"中国外运","601598","00598"
"国恩股份","002768","02768"
"美格智能","002881","03268"
"中船防务","600685","00317"
"中国交建","601800","01800"
"深高速","600548","00548"
"安井食品","603345","02648"
"上海电气","601727","02727"
"海天味业","603288","03288"
"华能国际","600011","00902"
"中信银行","601998","00998"
"中国中车","601766","01766"
"青岛港","601298","06198"
"海信家电","000921","00921"
"辽港股份","601880","02880"
"渝农商行","601077","03618"
"新华文轩","601811","00811"
"光大银行","601818","06818"
"绿色动力","601330","01330"
"东江环保","002672","00895"
"创业环保","600874","01065"
"先导智能","300450","00470"
"广深铁路","601333","00525"
"顺丰控股","002352","06936"
"华电国际","600027","01071"
"滨化股份","601678","06745"
"长城汽车","601633","02333"
"三一重工","600031","06031"
"重庆银行","601963","01963"
"星源材质","300568","06067"
"四川成渝","601107","00107"
"美的集团","000333","00300"
"福耀玻璃","600660","03606"
"广和通","300638","00638"
"新天绿能","600956","00956"
"浙江世宝","002703","01057"
"中际旭创","300308","03308"
"南方航空","600029","01055"
"中国东航","600115","00670"
"南华期货","603093","02691"
"中国国航","601111","00753"
"一拖股份","601038","00038"
